"ID" "group" "peace" "pairpeace" "belief1" "belief2" "agree" "guiltb" "guilta"
1 1 1 1 1 1 1 0 0
2 1 1 1 1 1 1 0 0
3 2 0 1 0 0 1 2 1
4 2 1 0 1 1 1 0 3
5 3 0 0 1 1 1 3 1
6 3 0 0 0 0 1 3 0
7 4 0 0 1 1 0 4 0
8 4 0 0 0 0 0 1 1
9 5 1 1 1 1 1 0 0
10 5 1 1 1 0 1 0 0
11 6 0 0 1 1 1 3 1
12 6 0 0 1 1 1 0 0
13 7 0 1 0 0 1 5 5
14 7 1 0 1 1 1 0 0
17 9 0 0 1 0 1 2 0
18 9 0 0 0 0 1 0 0
19 10 0 1 0 1 1 5 6
20 10 1 0 1 1 1 0 0
21 11 1 0 1 1 1 0 0
22 11 0 1 1 1 1 0 3
23 12 0 1 1 1 1 1 5
24 12 1 0 1 0 1 0 0
25 13 0 1 0 1 1 4 4
26 13 1 0 1 1 1 0 0
27 14 1 1 1 1 1 2 1
28 14 1 1 1 1 1 0 0
29 15 1 0 1 1 1 0 0
30 15 0 1 1 1 1 3 2
31 16 1 1 1 0 1 0 0
32 16 1 1 1 1 1 1 0
33 17 1 1 1 0 1 3 0
34 17 1 1 1 1 1 0 0
35 18 0 0 0 0 1 0 0
36 18 0 0 0 0 1 0 0
37 19 0 0 0 1 0 0 0
38 19 0 0 0 0 0 0 0
39 20 1 0 0 1 0 0 1
40 20 0 1 0 0 0 0 1
41 21 0 0 1 1 1 1 0
42 21 0 0 0 0 1 5 0
43 22 1 0 1 1 1 0 0
44 22 0 1 0 0 1 0 0
45 23 0 1 0 0 1 5 4
46 23 1 0 1 1 1 0 0
47 24 0 1 1 1 1 2 2
48 24 1 0 1 1 1 0 0
49 25 1 0 0 1 0 0 0
50 25 0 1 1 0 0 0 0
51 26 0 0 1 1 0 0 0
52 26 0 0 0 0 0 0 0
53 27 0 1 1 1 1 3 5
54 27 1 0 1 1 1 0 0
55 28 1 0 0 1 0 0 5
56 28 0 1 0 0 0 0 0
57 29 1 1 1 1 1 0 0
58 29 1 1 1 1 1 0 0
59 30 0 0 1 1 1 1 0
60 30 0 0 0 0 1 4 0
61 31 1 1 1 1 1 0 0
62 31 1 1 0 0 1 0 0
63 32 1 0 1 1 0 0 0
64 32 0 1 0 1 0 0 0
65 33 1 1 1 1 1 0 0
66 33 1 1 1 1 1 0 0
67 34 0 0 1 1 0 1 1
68 34 0 0 1 0 0 0 0
69 35 1 1 1 1 1 0 0
70 35 1 1 1 1 1 0 0
71 36 0 0 0 0 0 5 3
72 36 0 0 0 0 0 3 1
73 37 1 1 0 0 1 0 0
74 37 1 1 1 1 1 0 0
75 38 0 0 0 1 0 0 0
76 38 0 0 0 0 0 2 0
77 39 1 1 1 1 1 0 0
78 39 1 1 1 1 1 0 0
79 40 1 1 0 0 1 0 0
80 40 1 1 1 1 1 0 0
81 41 1 1 1 1 1 0 0
82 41 1 1 1 1 1 0 0
83 42 0 0 1 0 0 0 0
84 42 0 0 0 1 0 0 0
85 43 0 1 1 1 0 0 1
86 43 1 0 1 0 0 0 0
87 44 0 1 0 0 0 0 1
88 44 1 0 1 1 0 4 0
89 45 1 0 1 1 1 0 0
90 45 0 1 0 0 1 2 3
91 46 0 0 1 1 1 4 4
92 46 0 0 0 0 1 3 0
93 47 1 0 0 0 0 0 0
94 47 0 1 1 0 0 4 3
95 48 0 0 1 1 1 2 1
96 48 0 0 0 1 1 0 0
97 49 0 1 0 0 1 4 2
98 49 1 0 1 1 1 0 0
99 50 1 1 1 1 1 0 0
100 50 1 1 1 1 1 0 0
101 51 1 0 1 1 1 0 0
102 51 0 1 1 1 1 6 0
103 52 0 1 0 0 1 4 3
104 52 1 0 1 1 1 1 0
105 53 1 0 1 1 1 1 0
106 53 0 1 1 1 1 0 0
107 54 1 1 1 1 0 0 0
108 54 1 1 1 1 0 0 0
109 55 1 1 1 1 1 0 0
110 55 1 1 1 1 1 3 0
111 56 0 1 1 0 1 1 1
112 56 1 0 1 1 1 0 0
113 57 0 0 0 0 0 5 1
114 57 0 0 0 0 0 0 0
115 58 0 1 0 0 0 2 4
116 58 1 0 0 0 0 0 0
117 59 1 0 1 1 1 0 0
118 59 0 1 0 0 1 2 2
119 60 0 0 0 0 0 0 0
120 60 0 0 0 0 0 5 1
121 61 1 0 1 1 1 0 0
122 61 0 1 1 1 1 2 1
123 62 1 0 1 1 1 0 0
124 62 0 1 1 1 1 2 3
125 63 1 1 1 1 1 0 0
126 63 1 1 1 1 1 0 0
127 64 0 1 1 0 1 1 0
128 64 1 0 1 1 1 0 0
129 65 1 1 1 1 1 0 0
130 65 1 1 1 1 1 0 0
131 66 1 1 1 1 1 0 0
132 66 1 1 1 1 1 0 0
133 67 0 0 1 1 0 0 0
134 67 0 0 0 1 0 0 0
135 68 1 1 1 1 1 0 0
136 68 1 1 1 1 1 0 0
137 69 0 0 1 1 1 0 0
138 69 0 0 0 0 1 5 1
139 70 0 0 0 1 1 0 0
140 70 0 0 1 1 1 4 1
141 71 1 0 1 1 1 0 0
142 71 0 1 1 1 1 2 1
